#Organism/Name,Kingdom,Group,SubGroup,Size (Mb),Chrs,Organelles,Plasmids,BioProjects
Liao ning virus,Viruses,dsRNA viruses,Reoviridae,0.020739,12,-,-,1
Liberibacter crescens,Bacteria,Proteobacteria,Alphaproteobacteria,1.50466,1,-,-,1
Liberibacter phage SC1,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.040048,1,-,-,1
Liberibacter phage SC2,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.038997,1,-,-,1
Lichtheimia corymbifera,Eukaryota,Fungi,Other Fungi,42.4207,-,-,-,4
Lichtheimia ramosa,Eukaryota,Fungi,Other Fungi,45.567,-,-,-,1
Lignosus rhinocerotis,Eukaryota,Fungi,Basidiomycetes,34.3129,-,-,-,1
Ligustrum necrotic ringspot virus,Viruses,ssRNA viruses,Betaflexiviridae,0.008412,1,-,-,1
Lilac leaf chlorosis virus,Viruses,ssRNA viruses,Bromoviridae,0.008283,3,-,-,1
Lily mottle virus,Viruses,ssRNA viruses,Potyviridae,0.009644,1,-,-,1
Lily symptomless virus,Viruses,ssRNA viruses,Betaflexiviridae,0.008394,1,-,-,1
Lily virus X,Viruses,ssRNA viruses,Alphaflexiviridae,0.005823,1,-,-,1
Limnephilus lunatus,Eukaryota,Animals,Insects,1345.86,-,-,-,1
Limnobacter,Bacteria,Proteobacteria,Betaproteobacteria,3.39027,-,-,-,1
Limnohabitans,Bacteria,Proteobacteria,Betaproteobacteria,4.8966,-,-,-,6
Limnohabitans planktonicus,Bacteria,Proteobacteria,Betaproteobacteria,4.74225,-,-,-,1
Limnoraphis robusta,Bacteria,Cyanobacteria,Oscillatoriophycideae,7.31412,-,-,-,1
Limulus polyphemus,Eukaryota,Animals,Other Animals,1828.27,-,1,-,1
Lindernia anagallis yellow vein virus,Viruses,ssDNA viruses,Geminiviridae,0.00274,1,-,-,1
Lindernia anagallis yellow vein virus satellite DNA beta,Viruses,Satellites,unclassified,0.001346,1,-,-,1
Linepithema humile,Eukaryota,Animals,Insects,219.501,-,-,-,1
Lingula anatina,Eukaryota,Animals,Other Animals,425.495,-,-,-,1
Linum usitatissimum,Eukaryota,Plants,Land Plants,282.202,-,-,-,1
Lipotes vexillifer,Eukaryota,Animals,Mammals,2429.21,-,1,-,1
Liriomyza trifolii,Eukaryota,Animals,Insects,69.6986,-,1,-,1
Listeria aquatica FSL S10-1188,Bacteria,Firmicutes,Bacilli,2.60115,-,-,-,1
Listeria booriae,Bacteria,Firmicutes,Bacilli,3.43696,-,-,-,1
Listeria cornellensis FSL F6-969,Bacteria,Firmicutes,Bacilli,3.34783,-,-,-,1
Listeria fleischmannii,Bacteria,Firmicutes,Bacilli,3.18779,-,-,-,2
Listeria fleischmannii subsp. coloradonensis,Bacteria,Firmicutes,Bacilli,2.81751,-,-,-,1
Listeria floridensis FSL S10-1187,Bacteria,Firmicutes,Bacilli,2.79439,-,-,-,1
Listeria grandensis FSL F6-971,Bacteria,Firmicutes,Bacilli,3.18173,-,-,-,1
Listeria grayi,Bacteria,Firmicutes,Bacilli,2.71911,-,-,1,2
Listeria innocua,Bacteria,Firmicutes,Bacilli,3.11594,1,-,1,7
Listeria ivanovii,Bacteria,Firmicutes,Bacilli,3.13339,1,-,-,7
Listeria marthii,Bacteria,Firmicutes,Bacilli,2.88455,1,-,-,1
Listeria monocytogenes,Bacteria,Firmicutes,Bacilli,3.2433,1,-,1,358
Listeria newyorkensis,Bacteria,Firmicutes,Bacilli,3.51544,-,-,-,1
Listeria phage 2389,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.037618,1,-,-,1
Listeria phage A006,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.038124,1,-,-,1
Listeria phage A118,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.040834,1,-,-,1
Listeria phage A500,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.038867,1,-,-,1
Listeria phage A511,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.137619,1,-,-,1
Listeria phage B025,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.042653,1,-,-,1
Listeria phage B054,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.048172,1,-,-,1
Listeria phage LMSP-25,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.138036,1,-,-,1
Listeria phage LMTA-148,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.132541,1,-,-,1
Listeria phage LP-026,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.06715,1,-,-,1
Listeria phage LP-030-2,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.038275,1,-,-,1
Listeria phage LP-030-3,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.041156,1,-,-,1
Listeria phage LP-037,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.064756,1,-,-,1
Listeria phage LP-048,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.133048,1,-,-,1
Listeria phage LP-083-2,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.135831,1,-,-,1
Listeria phage LP-101,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.043767,1,-,-,1
Listeria phage LP-110,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.065132,1,-,-,1
Listeria phage LP-114,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.066676,1,-,-,1
Listeria phage LP-125,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.135281,1,-,-,1
Listeria phage List-36,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.131952,1,-,-,1
Listeria phage P35,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.035822,1,-,-,1
Listeria phage P40,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.035638,1,-,-,1
Listeria phage P70,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.06717,1,-,-,1
Listeria phage WIL-1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.134369,1,-,-,1
Listeria phage vB_LmoM_AG20,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.133057,1,-,-,1
Listeria riparia FSL S10-1204,Bacteria,Firmicutes,Bacilli,3.29104,-,-,-,1
Listeria rocourtiae,Bacteria,Firmicutes,Bacilli,3.21675,-,-,-,1
Listeria seeligeri,Bacteria,Firmicutes,Bacilli,3.14016,1,-,-,4
Listeria weihenstephanensis,Bacteria,Firmicutes,Bacilli,3.37444,-,-,-,1
Listeria welshimeri,Bacteria,Firmicutes,Bacilli,2.81413,1,-,-,1
Listeriaceae bacterium FSL A5-0209,Bacteria,Firmicutes,Bacilli,3.60394,-,-,-,1
Listonella phage phiHSIC,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.037966,1,-,-,1
Litoreibacter arenae,Bacteria,Proteobacteria,Alphaproteobacteria,3.68819,-,-,-,1
Little cherry virus 1,Viruses,ssRNA viruses,Closteroviridae,0.016934,1,-,-,1
Little cherry virus 2,Viruses,ssRNA viruses,Closteroviridae,0.015045,1,-,-,1
Lizard adenovirus 2,Viruses,"dsDNA viruses, no RNA stage",Adenoviridae,0.032965,1,-,-,1
Ljungan virus,Viruses,ssRNA viruses,Picornaviridae,0.00759,1,-,-,1
Lloviu cuevavirus,Viruses,ssRNA viruses,Filoviridae,0.018927,1,-,-,1
Loa loa,Eukaryota,Animals,Roundworms,96.4054,-,1,-,2
Locusta migratoria,Eukaryota,Animals,Insects,5759.8,-,1,-,1
Lodderomyces elongisporus,Eukaryota,Fungi,Ascomycetes,15.5473,-,-,-,1
Loktanella,Bacteria,Proteobacteria,Alphaproteobacteria,3.55764,-,-,-,1
Loktanella cinnabarina,Bacteria,Proteobacteria,Alphaproteobacteria,3.89624,-,-,-,1
Loktanella hongkongensis,Bacteria,Proteobacteria,Alphaproteobacteria,3.19844,-,-,2,2
Loktanella phage pCB2051-A,Viruses,"dsDNA viruses, no RNA stage",unclassified,0.056958,1,-,-,1
Loktanella vestfoldensis,Bacteria,Proteobacteria,Alphaproteobacteria,3.7216,-,-,-,2
Lolium latent virus,Viruses,ssRNA viruses,Alphaflexiviridae,0.007674,1,-,-,1
Lone Star virus,Viruses,ssRNA viruses,Bunyaviridae,0.01153,3,-,-,1
Long Island tick rhabdovirus,Viruses,ssRNA viruses,Rhabdoviridae,0.011176,1,-,-,1
Longilinea arvoryzae,Bacteria,Chloroflexi,Anaerolineae,4.43145,-,-,-,1
Longispora albida,Bacteria,Actinobacteria,Actinobacteria,6.82124,-,-,-,1
Lonsdalea quercina,Bacteria,Proteobacteria,Gammaproteobacteria,3.85007,-,-,-,3
Lotmaria passim,Eukaryota,Protists,Kinetoplasts,32.813,-,-,-,1
Lottia gigantea,Eukaryota,Animals,Other Animals,359.506,-,-,-,1
Lotus japonicus,Eukaryota,Plants,Land Plants,394.455,-,1,-,1
Louping ill virus,Viruses,ssRNA viruses,Flaviviridae,0.010871,1,-,-,1
Loxodonta africana,Eukaryota,Animals,Mammals,3196.74,-,1,-,1
Loxosceles reclusa,Eukaryota,Animals,Other Animals,3262.48,-,-,-,1
LuIII virus,Viruses,ssDNA viruses,Parvoviridae,0.005135,1,-,-,1
Lucerne transient streak virus,Viruses,ssRNA viruses,unclassified,0.004279,1,-,-,1
Lucerne transient streak virus satellite RNA,Viruses,Satellites,unclassified,0.000324,1,-,-,1
Lucilia cuprina,Eukaryota,Animals,Insects,470.483,-,1,-,2
Lucilia sericata,Eukaryota,Animals,Insects,319.935,-,1,-,1
Lucky bamboo bacilliform virus,Viruses,Retro-transcribing viruses,Caulimoviridae,0.007522,1,-,-,1
Ludwigia leaf distortion betasatellite [India:Amadalavalasa:Hibiscus:2007],Viruses,Satellites,unclassified,0.001362,1,-,-,1
Ludwigia yellow vein virus,Viruses,ssDNA viruses,Geminiviridae,0.002758,1,-,-,1
Ludwigia yellow vein virus-associated DNA beta,Viruses,Satellites,unclassified,0.001347,1,-,-,1
Luffa aphid-borne yellows virus,Viruses,ssRNA viruses,Luteoviridae,0.005961,1,-,-,1
Luffa begomovirus associated DNA beta,Viruses,Satellites,unclassified,0.001352,1,-,-,1
Luffa puckering and leaf distortion-associated DNA beta,Viruses,Satellites,unclassified,0.001358,1,-,-,1
Luffa puckering and leaf distortion-associated betasatellite [India:Gurdaspur:Okra:2013],Viruses,Satellites,unclassified,0.001353,1,-,-,1
Luffa yellow mosaic virus,Viruses,ssDNA viruses,Geminiviridae,0.005455,2,-,-,1
Lujo mammarenavirus,Viruses,ssRNA viruses,Arenaviridae,0.010352,2,-,-,1
Luminiphilus syltensis NOR5-1B,Bacteria,Proteobacteria,Gammaproteobacteria,3.26154,-,-,-,1
Lumpy skin disease virus NI-2490,Viruses,"dsDNA viruses, no RNA stage",Poxviridae,0.150773,1,-,-,1
Luna mammarenavirus,Viruses,ssRNA viruses,Arenaviridae,0.010607,2,-,-,1
Lunk virus NKS-1,Viruses,ssRNA viruses,Arenaviridae,0.010614,2,-,-,1
Lupine mosaic virus,Viruses,ssRNA viruses,Potyviridae,0.010113,1,-,-,1
Lupinus angustifolius,Eukaryota,Plants,Land Plants,523.298,-,-,-,1
Luteibacter,Bacteria,Proteobacteria,Gammaproteobacteria,4.62527,-,-,-,4
Luteibacter rhizovicinus,Bacteria,Proteobacteria,Gammaproteobacteria,4.52301,-,-,-,1
Luteibacter yeojuensis,Bacteria,Proteobacteria,Gammaproteobacteria,4.5489,-,-,-,1
Luteimonas,Bacteria,Proteobacteria,Gammaproteobacteria,3.94517,-,-,-,2
Luteimonas huabeiensis,Bacteria,Proteobacteria,Gammaproteobacteria,4.29592,-,-,-,1
Luteimonas mephitis,Bacteria,Proteobacteria,Gammaproteobacteria,3.41601,-,-,-,1
Luteipulveratus,Bacteria,Actinobacteria,Actinobacteria,4.46429,-,-,-,1
Luteipulveratus mongoliensis,Bacteria,Actinobacteria,Actinobacteria,5.42091,1,-,-,1
Lutibaculum baratangense,Bacteria,Proteobacteria,Alphaproteobacteria,4.30078,-,-,-,1
Lutzomyia longipalpis,Eukaryota,Animals,Insects,154.229,-,-,-,1
Lutzomyia reovirus 1,Viruses,dsRNA viruses,Reoviridae,0.024346,10,-,-,1
Lymantria dispar iflavirus 1,Viruses,ssRNA viruses,Iflaviridae,0.010044,1,-,-,1
Lymantria dispar multiple nucleopolyhedrovirus,Viruses,"dsDNA viruses, no RNA stage",Baculoviridae,0.161046,1,-,-,1
Lymantria xylina MNPV,Viruses,"dsDNA viruses, no RNA stage",Baculoviridae,0.156344,1,-,-,1
Lymphocystis disease virus - isolate China,Viruses,"dsDNA viruses, no RNA stage",Iridoviridae,0.18625,1,-,-,1
Lymphocystis disease virus 1,Viruses,"dsDNA viruses, no RNA stage",Iridoviridae,0.102653,1,-,-,1
Lymphocytic choriomeningitis mammarenavirus,Viruses,ssRNA viruses,Arenaviridae,0.010056,2,-,-,1
Lyngbya,Bacteria,Cyanobacteria,Oscillatoriophycideae,7.03751,-,-,-,1
Lyngbya aestuarii,Bacteria,Cyanobacteria,Oscillatoriophycideae,6.87351,-,-,-,1
Lyngbya confervoides,Bacteria,Cyanobacteria,Oscillatoriophycideae,8.79969,-,-,-,1
Lyrurus tetrix,Eukaryota,Animals,Birds,657.025,-,1,-,1
Lysinibacillus,Bacteria,Firmicutes,Bacilli,5.15715,-,-,-,5
Lysinibacillus boronitolerans,Bacteria,Firmicutes,Bacilli,4.56415,-,-,-,3
Lysinibacillus contaminans,Bacteria,Firmicutes,Bacilli,4.10031,-,-,-,1
Lysinibacillus fusiformis,Bacteria,Firmicutes,Bacilli,4.84379,1,-,-,5
Lysinibacillus macroides,Bacteria,Firmicutes,Bacilli,4.86604,-,-,-,1
Lysinibacillus manganicus,Bacteria,Firmicutes,Bacilli,4.0472,-,-,-,1
Lysinibacillus massiliensis,Bacteria,Firmicutes,Bacilli,3.99991,-,-,-,1
Lysinibacillus odysseyi,Bacteria,Firmicutes,Bacilli,4.51282,-,-,-,1
Lysinibacillus pakistanensis,Bacteria,Firmicutes,Bacilli,5.00936,-,-,-,1
Lysinibacillus parviboronicapiens,Bacteria,Firmicutes,Bacilli,4.72609,-,-,-,1
Lysinibacillus sinduriensis,Bacteria,Firmicutes,Bacilli,4.01705,-,-,-,1
Lysinibacillus sphaericus,Bacteria,Firmicutes,Bacilli,5.15646,1,-,1,10
Lysinibacillus varians,Bacteria,Firmicutes,Bacilli,4.66282,1,-,-,1
Lysinibacillus xylanilyticus,Bacteria,Firmicutes,Bacilli,5.22164,-,-,-,1
Lysinimicrobium,Bacteria,Actinobacteria,Actinobacteria,3.22837,-,-,-,13
Lysinimicrobium mangrovi,Bacteria,Actinobacteria,Actinobacteria,2.96874,-,-,-,1
Lysobacter,Bacteria,Proteobacteria,Gammaproteobacteria,3.22398,-,-,-,2
Lysobacter antibioticus,Bacteria,Proteobacteria,Gammaproteobacteria,5.52731,-,-,-,2
Lysobacter arseniciresistens,Bacteria,Proteobacteria,Gammaproteobacteria,3.08511,-,-,-,1
Lysobacter capsici,Bacteria,Proteobacteria,Gammaproteobacteria,6.31547,-,-,-,2
Lysobacter concretionis,Bacteria,Proteobacteria,Gammaproteobacteria,3.03212,-,-,-,1
Lysobacter daejeonensis,Bacteria,Proteobacteria,Gammaproteobacteria,3.27506,-,-,-,1
Lysobacter defluvii,Bacteria,Proteobacteria,Gammaproteobacteria,2.72212,-,-,-,2
Lysobacter dokdonensis,Bacteria,Proteobacteria,Gammaproteobacteria,3.27441,-,-,-,1
Lyssavirus Ozernoe,Viruses,ssRNA viruses,Rhabdoviridae,0.01198,1,-,-,1
Lytechinus variegatus,Eukaryota,Animals,Other Animals,1061.2,-,-,-,1
Lytechinus variegatus variable sea urchin associated circular virus,Viruses,ssDNA viruses,Circoviridae,0.002167,1,-,-,1
MSSI2.225 virus,Viruses,ssDNA viruses,unclassified,0.002259,1,-,-,1
MW polyomavirus,Viruses,"dsDNA viruses, no RNA stage",Polyomaviridae,0.004927,1,-,-,1
Macaca fascicularis,Eukaryota,Animals,Mammals,3126.56,21,1,-,3
Macaca fascicularis papillomavirus 2,Viruses,"dsDNA viruses, no RNA stage",Papillomaviridae,0.007632,1,-,-,1
Macaca fascicularis polyomavirus 1,Viruses,"dsDNA viruses, no RNA stage",Polyomaviridae,0.005087,1,-,-,1
Macaca mulatta,Eukaryota,Animals,Mammals,3236.21,22,1,-,5
Macaca nemestrina,Eukaryota,Animals,Mammals,2948.7,-,1,-,1
Macacine herpesvirus 1,Viruses,"dsDNA viruses, no RNA stage",Herpesviridae,0.156789,1,-,-,1
Macacine herpesvirus 3,Viruses,"dsDNA viruses, no RNA stage",Herpesviridae,0.221454,1,-,-,1
Macacine herpesvirus 4,Viruses,"dsDNA viruses, no RNA stage",Herpesviridae,0.171096,1,-,-,1
Macacine herpesvirus 5,Viruses,"dsDNA viruses, no RNA stage",Herpesviridae,0.133719,1,-,-,1
Macaque simian foamy virus,Viruses,Retro-transcribing viruses,Retroviridae,0.012972,1,-,-,1
Machupo mammarenavirus,Viruses,ssRNA viruses,Arenaviridae,0.010635,2,-,-,1
Macrobrachium rosenbergii Taihu virus,Viruses,ssRNA viruses,Dicistroviridae,0.010303,1,-,-,1
Macrobrachium rosenbergii nodavirus,Viruses,ssRNA viruses,Nodaviridae,0.004377,2,-,-,1
Macrococcus caseolyticus,Bacteria,Firmicutes,Bacilli,2.21974,1,-,8,1
Macrocystidia cucumis,Eukaryota,Fungi,Basidiomycetes,46.7469,-,-,-,1
Macrophomina phaseolina,Eukaryota,Fungi,Ascomycetes,98.6958,-,-,-,7
Macrophomina phaseolina tobamo-like virus,Viruses,ssRNA viruses,Virgaviridae,0.009524,1,-,-,1
Macroptilium golden mosaic virus,Viruses,ssDNA viruses,Geminiviridae,0.005158,2,-,-,1
Macroptilium mosaic Puerto Rico virus,Viruses,ssDNA viruses,Geminiviridae,0.005186,2,-,-,1
Macroptilium yellow mosaic Florida virus,Viruses,ssDNA viruses,Geminiviridae,0.005247,2,-,-,1
Macroptilium yellow mosaic virus,Viruses,ssDNA viruses,Geminiviridae,0.005223,2,-,-,1
Macroptilium yellow net virus,Viruses,ssDNA viruses,Geminiviridae,0.005197,2,-,-,1
Macroptilium yellow spot virus,Viruses,ssDNA viruses,Geminiviridae,0.00266,1,-,-,1
Macroptilium yellow vein virus,Viruses,ssDNA viruses,Geminiviridae,0.002656,1,-,-,1
Macropus eugenii,Eukaryota,Animals,Mammals,3075.18,-,-,-,1
Macrostomum lignano,Eukaryota,Animals,Flatworms,1040.12,-,-,-,1
Madariaga virus,Viruses,ssRNA viruses,Togaviridae,0.011624,1,-,-,1
Madurella mycetomatis,Eukaryota,Fungi,Ascomycetes,35.2424,-,1,-,1
Mageeibacillus indolicus,Bacteria,Firmicutes,Clostridia,1.80975,1,-,-,2
Magnaporthe oryzae,Eukaryota,Fungi,Ascomycetes,45.0965,7,-,-,45
Magnaporthe oryzae RNA virus,Viruses,unclassified viruses,unclassified,0.003246,1,-,-,1
Magnaporthe oryzae chrysovirus 1,Viruses,dsRNA viruses,Chrysoviridae,0.012921,4,-,-,1
Magnaporthe oryzae chrysovirus 3,Viruses,dsRNA viruses,Chrysoviridae,0.015563,5,-,-,1
Magnaporthe oryzae virus 1,Viruses,dsRNA viruses,Totiviridae,0.005359,1,-,-,1
Magnaporthe oryzae virus 2,Viruses,dsRNA viruses,Totiviridae,0.005193,1,-,-,1
Magnaporthe oryzae virus 3,Viruses,dsRNA viruses,Totiviridae,0.005181,1,-,-,1
Magnaporthiopsis poae,Eukaryota,Fungi,Ascomycetes,39.6418,-,-,-,1
Magnetococcus marinus,Bacteria,Proteobacteria,Alphaproteobacteria,4.71958,1,-,-,1
Magnetospira,Bacteria,Proteobacteria,Alphaproteobacteria,4.05237,1,-,1,1
Magnetospirillum,Bacteria,Proteobacteria,Alphaproteobacteria,4.87051,-,-,-,1
Magnetospirillum gryphiswaldense,Bacteria,Proteobacteria,Alphaproteobacteria,4.3658,1,-,1,1
Magnetospirillum magneticum,Bacteria,Proteobacteria,Alphaproteobacteria,4.96715,1,-,1,1
Magnetospirillum magnetotacticum,Bacteria,Proteobacteria,Alphaproteobacteria,4.52393,-,-,-,1
Magpie-robin coronavirus HKU18,Viruses,ssRNA viruses,Coronaviridae,0.026689,1,-,-,1
Mahella australiensis,Bacteria,Firmicutes,Clostridia,3.13597,1,-,-,1
Maize Iranian mosaic virus,Viruses,ssRNA viruses,Rhabdoviridae,0.012381,1,-,-,1
Maize chlorotic dwarf virus,Viruses,ssRNA viruses,Secoviridae,0.011832,1,-,-,1
Maize chlorotic mottle virus,Viruses,ssRNA viruses,Tombusviridae,0.004437,1,-,-,1
Maize dwarf mosaic virus,Viruses,ssRNA viruses,Potyviridae,0.009515,1,-,-,1
Maize fine streak virus,Viruses,ssRNA viruses,Rhabdoviridae,0.013782,1,-,-,1
Maize mosaic virus,Viruses,ssRNA viruses,Rhabdoviridae,0.012133,1,-,-,1
Maize necrotic streak virus,Viruses,ssRNA viruses,Tombusviridae,0.004094,1,-,-,1
Maize rayado fino virus,Viruses,ssRNA viruses,Tymoviridae,0.006305,1,-,-,1
Maize streak Reunion virus,Viruses,ssDNA viruses,Geminiviridae,0.002882,1,-,-,1
Maize streak virus,Viruses,ssDNA viruses,Geminiviridae,0.002689,1,-,-,1
Maize white line mosaic satellite virus,Viruses,Satellites,unclassified,0.001168,1,-,-,1
Maize white line mosaic virus,Viruses,ssRNA viruses,Tombusviridae,0.004293,1,-,-,1
Maize yellow dwarf virus-RMV,Viruses,ssRNA viruses,Luteoviridae,0.005612,1,-,-,1
Maize-associated totivirus 1,Viruses,dsRNA viruses,Totiviridae,0.003956,1,-,-,1
Mal de Rio Cuarto virus,Viruses,dsRNA viruses,Reoviridae,0.029096,10,-,-,1
Malachra yellow vein mosaic virus-associated satellite DNA beta,Viruses,Satellites,unclassified,0.001339,1,-,-,1
Malakal virus,Viruses,ssRNA viruses,Rhabdoviridae,0.015444,1,-,-,1
Malassezia caprae,Eukaryota,Fungi,Basidiomycetes,7.58082,-,-,-,1
Malassezia cuniculi,Eukaryota,Fungi,Basidiomycetes,7.45991,-,-,-,1
Malassezia dermatis,Eukaryota,Fungi,Basidiomycetes,7.54086,-,-,-,1
Malassezia equina,Eukaryota,Fungi,Basidiomycetes,7.65888,-,-,-,1
Malassezia furfur,Eukaryota,Fungi,Basidiomycetes,15.2325,-,-,-,6
Malassezia globosa,Eukaryota,Fungi,Basidiomycetes,8.95812,-,-,-,4
Malassezia japonica,Eukaryota,Fungi,Basidiomycetes,8.34176,-,-,-,1
Malassezia nana,Eukaryota,Fungi,Basidiomycetes,7.60708,-,-,-,1
Malassezia obtusa,Eukaryota,Fungi,Basidiomycetes,7.84288,-,-,-,1
Malassezia pachydermatis,Eukaryota,Fungi,Basidiomycetes,8.15835,-,-,-,2
Malassezia restricta,Eukaryota,Fungi,Basidiomycetes,7.26022,-,-,-,3
Malassezia slooffiae,Eukaryota,Fungi,Basidiomycetes,8.4259,-,-,-,1
Malassezia sympodialis,Eukaryota,Fungi,Basidiomycetes,7.66969,-,-,-,4
Malassezia yamatoensis,Eukaryota,Fungi,Basidiomycetes,8.10684,-,-,-,1
Malpais Spring virus,Viruses,ssRNA viruses,Rhabdoviridae,0.011019,1,-,-,1
Malus domestica,Eukaryota,Plants,Land Plants,1874.77,17,1,-,1
Malva mosaic virus,Viruses,ssRNA viruses,Alphaflexiviridae,0.006858,1,-,-,1
Malvastrum leaf curl Guangdong betasatellite,Viruses,Satellites,unclassified,0.001344,1,-,-,1
Malvastrum leaf curl Guangdong virus,Viruses,ssDNA viruses,Geminiviridae,0.002767,1,-,-,1
Malvastrum leaf curl Philippines betasatellite,Viruses,Satellites,unclassified,0.000673,1,-,-,1
Malvastrum leaf curl Philippines virus,Viruses,ssDNA viruses,Geminiviridae,0.002742,1,-,-,1
Malvastrum leaf curl betasatellite,Viruses,Satellites,unclassified,0.001354,1,-,-,2
Malvastrum leaf curl virus,Viruses,ssDNA viruses,Geminiviridae,0.002745,1,-,-,1
Malvastrum yellow mosaic Cameroon alphasatellite,Viruses,Satellites,unclassified,0.001416,1,-,-,1
Malvastrum yellow mosaic alphasatellite,Viruses,Satellites,unclassified,0.001373,1,-,-,1
Malvastrum yellow mosaic virus,Viruses,ssDNA viruses,Geminiviridae,0.002728,1,-,-,1
Malvastrum yellow mosaic virus satellite DNA beta,Viruses,Satellites,unclassified,0.001357,1,-,-,1
Malvastrum yellow vein Baoshan virus,Viruses,ssDNA viruses,Geminiviridae,0.002743,1,-,-,1
Malvastrum yellow vein Cambodia virus,Viruses,ssDNA viruses,Geminiviridae,0.002737,1,-,-,1
Malvastrum yellow vein Changa Manga virus,Viruses,ssDNA viruses,Geminiviridae,0.002754,1,-,-,1
Malvastrum yellow vein Yunnan virus,Viruses,ssDNA viruses,Geminiviridae,0.002747,1,-,-,1
Malvastrum yellow vein Yunnan virus satellite DNA beta,Viruses,Satellites,unclassified,0.00135,1,-,-,1
Malvastrum yellow vein betasatellite,Viruses,Satellites,unclassified,0.001348,1,-,-,1
Malvastrum yellow vein virus,Viruses,ssDNA viruses,Geminiviridae,0.002731,1,-,-,1
Mamastrovirus 1,Viruses,ssRNA viruses,Astroviridae,0.006813,1,-,-,1
Mamastrovirus 10,Viruses,ssRNA viruses,Astroviridae,0.00661,1,-,-,1
Mamastrovirus 13,Viruses,ssRNA viruses,Astroviridae,0.00644,1,-,-,1
Mamastrovirus 3,Viruses,ssRNA viruses,Astroviridae,0.006706,1,-,-,1
Mamestra brassicae multiple nucleopolyhedrovirus,Viruses,"dsDNA viruses, no RNA stage",Baculoviridae,0.15271,1,-,-,1
Mamestra configurata nucleopolyhedrovirus A,Viruses,"dsDNA viruses, no RNA stage",Baculoviridae,0.15506,1,-,-,1
Mamestra configurata nucleopolyhedrovirus B,Viruses,"dsDNA viruses, no RNA stage",Baculoviridae,0.158482,1,-,-,1
Mammalian orthoreovirus,Viruses,dsRNA viruses,Reoviridae,0.023564,10,-,-,2
Manacus vitellinus,Eukaryota,Animals,Birds,1145.85,-,-,-,1
Mandrillus leucophaeus,Eukaryota,Animals,Mammals,3061.99,-,-,-,1
Manduca sexta,Eukaryota,Animals,Insects,419.424,-,1,-,1
Mangrovibacter,Bacteria,Proteobacteria,Gammaproteobacteria,5.36158,-,-,-,1
Mangrovimonas,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.14924,-,-,-,3
Mangrovimonas yunxiaonensis,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,2.67003,-,-,-,1
Manihot esculenta,Eukaryota,Plants,Land Plants,390.836,-,1,-,2
Manis pentadactyla,Eukaryota,Animals,Mammals,2204.73,-,1,-,1
Mannheimia,Bacteria,Proteobacteria,Gammaproteobacteria,2.18681,-,-,-,1
Mannheimia granulomatis,Bacteria,Proteobacteria,Gammaproteobacteria,2.2713,-,-,-,1
Mannheimia haemolytica,Bacteria,Proteobacteria,Gammaproteobacteria,2.73187,1,-,3,21
Mannheimia phage phiMHaA1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.034525,1,-,-,1
Mannheimia phage vB_MhM_1152AP,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.034719,1,-,-,1
Mannheimia varigena,Bacteria,Proteobacteria,Gammaproteobacteria,2.39345,1,-,1,4
Manzanilla virus,Viruses,ssRNA viruses,Bunyaviridae,0.01239,3,-,-,1
Maprik virus,Viruses,ssRNA viruses,Bunyaviridae,0.012113,3,-,-,1
Mapuera virus,Viruses,ssRNA viruses,Paramyxoviridae,0.015486,1,-,-,1
Maraba virus,Viruses,ssRNA viruses,Rhabdoviridae,0.011135,1,-,-,1
